"project_id","project_age","created_at","data_collected","windows","window_idx","language","domain","forks","watchers","turnover","num_team_year","num_commits_year","user_ID","gender","absent","score.increase"
2778708,"20","2013-01-13","2014-01-02",23,24,"C++","OTHER",2,1,0.75,9,148,113876,"male",0,0.0163062743707905
2255704,"19","2012-11-24","2014-01-02",4,4,"JavaScript","GUI",18,24,0.4,21,149,122067,"male",0,0.00886210563629918
1686129,"16","2012-02-07","2014-01-02",7,7,"Ruby","OTHER",23,36,0.3,24,127,104103,"male",0,0.00850762141084722
412561,"17","2012-06-02","2014-01-02",6,10,"C","OTHER",1,2,0.632,19,105,129265,"male",0,0.00779865295994328
64396,"16","2012-01-17","2014-01-02",7,7,"Java","GUI",2,5,0.6,9,106,111588,"male",0,0.00708968450903934
3329,"17","2012-03-14","2014-01-02",10,10,"Ruby","DEV_FRAME",103,65,0.357,54,209,102078,"male",0,0.00673520028358739
31780,"15","2011-10-13","2014-01-02",4,5,"Python","OTHER",5,4,0.5,11,102,25800,"male",0,0.00638071605813541
241258,"16","2012-02-28","2014-01-02",7,7,"Python","PROGRAM_ANALYSIS",7,12,0.333,6,140,2625,"male",0,0.00638071605813541
1472750,"18","2012-06-13","2014-01-02",4,5,"Ruby","OTHER",2,2,0.5,6,107,158927,"male",0,0.00638071605813541
270950,"18","2012-08-15","2014-01-02",5,5,"JavaScript","OTHER",13,40,0.25,10,68,1831,"male",0,0.00602623183268346
423191,"17","2012-05-09","2014-01-02",6,6,"Python","OTHER",11,17,0.25,10,116,1009170,"male",1,0.00602623183268344
2778668,"20","2013-01-13","2014-01-02",20,23,"C++","OTHER",2,2,0.667,4,15,66609,"male",0,0.00602623183268344
33356,"16","2012-02-22","2014-01-02",7,7,"JavaScript","OTHER",29,85,0.571,15,91,10706,"male",0,0.00567174760723148
258919,"17","2012-03-14","2014-01-02",6,6,"JavaScript","PROGRAM_ANALYSIS",13,33,1,14,38,328668,"male",0,0.00531726338177951
996361,"19","2012-09-27","2014-01-02",4,4,"Ruby","OTHER",13,35,0.333,14,183,498245,"male",0,0.00531726338177951
